GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0003777,microtubule motor activity,54,12,6.67,0.04429,0.607175636363636
GO:0016854,racemase and epimerase activity,20,4,2.47,0.04584,0.613914736842105
GO:0030594,neurotransmitter receptor activity,18,11,2.22,0.04641,0.613914736842105
GO:0004252,serine-type endopeptidase activity,80,19,9.89,0.04878,0.633128
GO:0019203,carbohydrate phosphatase activity,8,3,0.99,0.05028,0.633128
GO:0004175,endopeptidase activity,207,34,25.58,0.05059,0.633128
GO:0070001,aspartic-type peptidase activity,61,13,7.54,0.05211,0.633128
GO:0097159,organic cyclic compound binding,3816,454,471.56,0.05372,0.633128
GO:1901363,heterocyclic compound binding,3816,454,471.56,0.05372,0.633128
GO:0052689,carboxylic ester hydrolase activity,37,9,4.57,0.05388,0.633128
GO:0003979,UDP-glucose 6-dehydrogenase activity,4,2,0.49,0.05458,0.633128
GO:0042626,ATPase-coupled transmembrane transporter...,59,12,7.29,0.05737,0.655408787878788
GO:0016832,aldehyde-lyase activity,9,3,1.11,0.06040,0.673682608695652
GO:0008519,ammonium transmembrane transporter activ...,5,3,0.62,0.06150,0.673682608695652
GO:0016772,transferase activity, transferring phosp...,1138,218,140.63,0.06165,0.673682608695652
GO:0070566,adenylyltransferase activity,13,2,1.61,0.07141,0.769187714285714
GO:0008878,glucose-1-phosphate adenylyltransferase ...,4,2,0.49,0.07692,0.816868732394366
GO:0016412,serine O-acyltransferase activity,4,2,0.49,0.07970,0.833944657534247
GO:0043177,organic acid binding,54,12,6.67,0.08074,0.833944657534247
GO:0004180,carboxypeptidase activity,37,10,4.57,0.08433,0.840367272727273
GO:0016597,amino acid binding,39,11,4.82,0.08470,0.840367272727273
GO:0016307,phosphatidylinositol phosphate kinase ac...,12,5,1.48,0.08544,0.840367272727273
GO:0005507,copper ion binding,34,7,4.2,0.08582,0.840367272727273
GO:0008238,exopeptidase activity,53,11,6.55,0.08841,0.85463
GO:0004713,protein tyrosine kinase activity,802,183,99.11,0.08969,0.856028607594937
GO:0016407,acetyltransferase activity,54,9,6.67,0.09102,0.8578635
GO:0016413,O-acetyltransferase activity,4,2,0.49,0.09250,0.861049382716049
GO:0016758,hexosyltransferase activity,311,67,38.43,0.09630,0.885490243902439
GO:0004722,protein serine/threonine phosphatase act...,65,9,8.03,0.10372,0.933718117647059
GO:0016705,oxidoreductase activity, acting on paire...,310,54,38.31,0.10450,0.933718117647059
GO:0004664,prephenate dehydratase activity,4,2,0.49,0.10526,0.933718117647059
GO:0005261,cation channel activity,36,8,4.45,0.11255,0.986775581395349
GO:0016620,oxidoreductase activity, acting on the a...,31,6,3.83,0.12077,1
GO:0016757,glycosyltransferase activity,377,76,46.59,0.12104,1
GO:0051002,ligase activity, forming nitrogen-metal ...,3,1,0.37,0.12485,1
GO:0046983,protein dimerization activity,200,28,24.71,0.12571,1
GO:0046933,proton-transporting ATP synthase activit...,15,2,1.85,0.12661,1
GO:0030246,carbohydrate binding,89,14,11,0.12727,1
GO:0015116,sulfate transmembrane transporter activi...,10,5,1.24,0.12971,1
GO:0004540,ribonuclease activity,31,2,3.83,0.13366,1
GO:0032296,double-stranded RNA-specific ribonucleas...,12,2,1.48,0.14194,1
GO:0000287,magnesium ion binding,89,14,11,0.14373,1
GO:0004553,hydrolase activity, hydrolyzing O-glycos...,221,45,27.31,0.14433,1
GO:0008146,sulfotransferase activity,13,4,1.61,0.14757,1
GO:0004190,aspartic-type endopeptidase activity,61,13,7.54,0.15371,1
GO:0034061,DNA polymerase activity,12,2,1.48,0.15570,1
GO:0016835,carbon-oxygen lyase activity,60,12,7.41,0.15598,1
GO:0004857,enzyme inhibitor activity,84,13,10.38,0.15957,1
GO:0000234,phosphoethanolamine N-methyltransferase ...,3,1,0.37,0.17607,1
GO:0070008,serine-type exopeptidase activity,41,11,5.07,0.17805,1
GO:0022804,active transmembrane transporter activit...,173,32,21.38,0.18194,1
GO:0004888,transmembrane signaling receptor activit...,20,11,2.47,0.18571,1
GO:0008066,glutamate receptor activity,18,11,2.22,0.18947,1
GO:0015085,calcium ion transmembrane transporter ac...,17,3,2.1,0.18949,1
GO:0008171,O-methyltransferase activity,27,6,3.34,0.19310,1
GO:0016709,oxidoreductase activity, acting on paire...,14,4,1.73,0.19603,1
GO:0019202,amino acid kinase activity,4,2,0.49,0.20260,1
GO:0004618,phosphoglycerate kinase activity,4,2,0.49,0.20260,1
GO:0004521,endoribonuclease activity,21,2,2.6,0.20290,1
GO:0030234,enzyme regulator activity,125,16,15.45,0.21054,1
GO:0016638,oxidoreductase activity, acting on the C...,16,4,1.98,0.21092,1
GO:0080019,fatty-acyl-CoA reductase (alcohol-formin...,9,3,1.11,0.21910,1
GO:0140657,ATP-dependent activity,272,38,33.61,0.23076,1
GO:0016229,steroid dehydrogenase activity,28,6,3.46,0.23611,1
GO:0016838,carbon-oxygen lyase activity, acting on ...,27,7,3.34,0.23731,1
GO:0004601,peroxidase activity,46,4,5.68,0.24103,1
GO:0016893,endonuclease activity, active with eithe...,18,2,2.22,0.24286,1
GO:0016812,hydrolase activity, acting on carbon-nit...,3,1,0.37,0.24374,1
GO:0016813,hydrolase activity, acting on carbon-nit...,3,1,0.37,0.24374,1
GO:0016278,lysine N-methyltransferase activity,16,2,1.98,0.24533,1
GO:0016717,oxidoreductase activity, acting on paire...,20,5,2.47,0.25632,1
GO:0046872,metal ion binding,1675,195,206.99,0.25761,1
GO:0000166,nucleotide binding,2116,310,261.48,0.25926,1
GO:0005096,GTPase activator activity,19,3,2.35,0.26519,1
GO:0009916,alternative oxidase activity,4,1,0.49,0.26667,1
GO:0004650,polygalacturonase activity,5,2,0.62,0.26926,1
GO:0015291,secondary active transmembrane transport...,97,20,11.99,0.27072,1
GO:0015631,tubulin binding,68,16,8.4,0.27446,1
GO:0010333,terpene synthase activity,23,7,2.84,0.27607,1
GO:0015318,inorganic molecular entity transmembrane...,217,38,26.82,0.28001,1
GO:0004112,cyclic-nucleotide phosphodiesterase acti...,3,1,0.37,0.28845,1
GO:0004645,1,4-alpha-oligoglucan phosphorylase acti...,5,2,0.62,0.29413,1
GO:0004386,helicase activity,53,6,6.55,0.30467,1
GO:0016308,1-phosphatidylinositol-4-phosphate 5-kin...,5,3,0.62,0.31061,1
GO:0048038,quinone binding,10,2,1.24,0.31584,1
GO:0008429,phosphatidylethanolamine binding,5,1,0.62,0.32020,1
GO:0004185,serine-type carboxypeptidase activity,35,10,4.33,0.32786,1
GO:0016841,ammonia-lyase activity,11,3,1.36,0.33083,1
GO:0004476,mannose-6-phosphate isomerase activity,3,1,0.37,0.33088,1
GO:0051087,chaperone binding,18,3,2.22,0.33110,1
GO:0016884,carbon-nitrogen ligase activity, with gl...,20,2,2.47,0.33758,1
GO:0016410,N-acyltransferase activity,52,7,6.43,0.34077,1
GO:0022843,voltage-gated cation channel activity,11,3,1.36,0.34970,1
GO:0005249,voltage-gated potassium channel activity,11,3,1.36,0.36264,1
GO:0046524,sucrose-phosphate synthase activity,3,2,0.37,0.36727,1
GO:0004143,diacylglycerol kinase activity,6,2,0.74,0.36941,1
GO:0008889,glycerophosphodiester phosphodiesterase ...,4,1,0.49,0.37055,1
GO:0003746,translation elongation factor activity,24,1,2.97,0.37500,1
GO:0016655,oxidoreductase activity, acting on NAD(P...,8,2,0.99,0.37564,1
GO:0004478,methionine adenosyltransferase activity,3,1,0.37,0.37805,1
GO:0004124,cysteine synthase activity,9,2,1.11,0.38168,1
GO:0005545,1-phosphatidylinositol binding,5,1,0.62,0.38462,1
GO:0070403,NAD+ binding,3,1,0.37,0.38530,1
GO:0016879,ligase activity, forming carbon-nitrogen...,51,3,6.3,0.38605,1
GO:0003700,DNA-binding transcription factor activit...,334,34,41.27,0.39086,1
GO:0016887,ATP hydrolysis activity,104,15,12.85,0.39453,1
GO:0004474,malate synthase activity,3,1,0.37,0.39560,1
GO:0050145,nucleoside monophosphate kinase activity,14,3,1.73,0.39565,1
GO:0019212,phosphatase inhibitor activity,3,1,0.37,0.39617,1
GO:0051539,4 iron, 4 sulfur cluster binding,18,2,2.22,0.39907,1
GO:0016840,carbon-nitrogen lyase activity,21,4,2.6,0.40935,1
GO:0016846,carbon-sulfur lyase activity,9,2,1.11,0.41619,1
GO:0004332,fructose-bisphosphate aldolase activity,7,3,0.87,0.41667,1
GO:2001070,starch binding,5,1,0.62,0.42158,1
GO:0050664,oxidoreductase activity, acting on NAD(P...,3,1,0.37,0.42208,1
GO:0008374,O-acyltransferase activity,21,3,2.6,0.42228,1
GO:0022853,active ion transmembrane transporter act...,76,14,9.39,0.42536,1
GO:0019208,phosphatase regulator activity,4,1,0.49,0.42596,1
GO:0004751,ribose-5-phosphate isomerase activity,4,1,0.49,0.42647,1
GO:0005315,inorganic phosphate transmembrane transp...,3,1,0.37,0.42991,1
GO:0004197,cysteine-type endopeptidase activity,10,2,1.24,0.43140,1
GO:0005267,potassium channel activity,15,3,1.85,0.43465,1
GO:0004420,hydroxymethylglutaryl-CoA reductase (NAD...,5,1,0.62,0.43486,1
GO:0004659,prenyltransferase activity,10,2,1.24,0.44337,1
GO:0005337,nucleoside transmembrane transporter act...,4,1,0.49,0.44444,1
GO:0016788,hydrolase activity, acting on ester bond...,373,52,46.09,0.44485,1
GO:0030276,clathrin binding,5,1,0.62,0.45025,1
GO:0016901,oxidoreductase activity, acting on the C...,5,1,0.62,0.45747,1
GO:0030151,molybdenum ion binding,5,1,0.62,0.45808,1
GO:0001882,nucleoside binding,5,1,0.62,0.47357,1
GO:0016891,endoribonuclease activity, producing 5'-...,16,2,1.98,0.47431,1
GO:0016791,phosphatase activity,147,17,18.17,0.48025,1
GO:0060090,molecular adaptor activity,5,1,0.62,0.48297,1
GO:0016860,intramolecular oxidoreductase activity,21,2,2.6,0.48623,1
GO:0046912,acyltransferase activity, acyl groups co...,14,2,1.73,0.48647,1
GO:0016857,racemase and epimerase activity, acting ...,17,4,2.1,0.49123,1
GO:0016702,oxidoreductase activity, acting on singl...,24,2,2.97,0.49198,1
GO:0016627,oxidoreductase activity, acting on the C...,90,14,11.12,0.49379,1
GO:0016782,transferase activity, transferring sulph...,20,4,2.47,0.49440,1
GO:0016829,lyase activity,169,26,20.88,0.49637,1
GO:0004348,glucosylceramidase activity,3,1,0.37,0.49668,1
GO:0019238,cyclohydrolase activity,6,1,0.74,0.50000,1
GO:0046577,long-chain-alcohol oxidase activity,3,1,0.37,0.50000,1
GO:0004630,phospholipase D activity,6,1,0.74,0.50148,1
GO:0016462,pyrophosphatase activity,237,30,29.29,0.50352,1
GO:0004611,phosphoenolpyruvate carboxykinase activi...,7,1,0.87,0.50458,1
GO:0005244,voltage-gated ion channel activity,22,4,2.72,0.50590,1
GO:0015036,disulfide oxidoreductase activity,74,11,9.14,0.51020,1
GO:0004089,carbonate dehydratase activity,4,1,0.49,0.51196,1
GO:0004634,phosphopyruvate hydratase activity,4,1,0.49,0.51196,1
GO:0015075,ion transmembrane transporter activity,231,38,28.55,0.51635,1
GO:0016899,oxidoreductase activity, acting on the C...,6,1,0.74,0.52130,1
GO:0051765,inositol tetrakisphosphate kinase activi...,8,2,0.99,0.52650,1
GO:0008047,enzyme activator activity,21,3,2.6,0.52871,1
GO:0016630,protochlorophyllide reductase activity,3,1,0.37,0.52960,1
GO:0008168,methyltransferase activity,194,29,23.97,0.53025,1
GO:0008661,1-deoxy-D-xylulose-5-phosphate synthase ...,3,1,0.37,0.53333,1
GO:0017111,nucleoside-triphosphatase activity,225,29,27.8,0.53619,1
GO:0004842,ubiquitin-protein transferase activity,89,13,11,0.54169,1
GO:0019825,oxygen binding,5,1,0.62,0.54346,1
GO:0019206,nucleoside kinase activity,4,1,0.49,0.54404,1
GO:0050661,NADP binding,40,6,4.94,0.54408,1
GO:0004385,guanylate kinase activity,3,1,0.37,0.54670,1
GO:0004127,cytidylate kinase activity,3,1,0.37,0.54670,1
GO:0016491,oxidoreductase activity,1189,179,146.93,0.54815,1
GO:0004525,ribonuclease III activity,12,2,1.48,0.55000,1
GO:0015369,calcium:proton antiporter activity,5,1,0.62,0.55556,1
GO:0019829,ATPase-coupled cation transmembrane tran...,31,5,3.83,0.55845,1
GO:0016744,transketolase or transaldolase activity,10,2,1.24,0.55889,1
GO:0016645,oxidoreductase activity, acting on the C...,12,2,1.48,0.55975,1
GO:0016651,oxidoreductase activity, acting on NAD(P...,19,3,2.35,0.56279,1
GO:0015252,proton channel activity,15,2,1.85,0.56896,1
GO:0005515,protein binding,2671,301,330.07,0.56898,1
GO:0008094,ATP-dependent activity, acting on DNA,46,6,5.68,0.57173,1
GO:0004869,cysteine-type endopeptidase inhibitor ac...,13,1,1.61,0.57326,1
GO:0015079,potassium ion transmembrane transporter ...,30,3,3.71,0.57592,1
GO:0003993,acid phosphatase activity,16,2,1.98,0.58036,1
GO:0008017,microtubule binding,66,16,8.16,0.58209,1
GO:0016668,oxidoreductase activity, acting on a sul...,13,2,1.61,0.58364,1
GO:0005388,P-type calcium transporter activity,11,2,1.36,0.58972,1
GO:0004834,tryptophan synthase activity,5,1,0.62,0.59911,1
GO:0004725,protein tyrosine phosphatase activity,8,1,0.99,0.59985,1
GO:0003905,alkylbase DNA N-glycosylase activity,6,1,0.74,0.60000,1
GO:0015925,galactosidase activity,4,1,0.49,0.60058,1
GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity,8,1,0.99,0.60462,1
GO:0030060,L-malate dehydrogenase activity,8,1,0.99,0.60462,1
GO:0004867,serine-type endopeptidase inhibitor acti...,14,1,1.73,0.60740,1
GO:0005254,chloride channel activity,8,1,0.99,0.61538,1
GO:0050660,flavin adenine dinucleotide binding,88,12,10.87,0.61792,1
GO:0016742,hydroxymethyl-, formyl- and related tran...,6,1,0.74,0.61935,1
GO:0052725,inositol-1,3,4-trisphosphate 6-kinase ac...,8,2,0.99,0.62222,1
GO:0052726,inositol-1,3,4-trisphosphate 5-kinase ac...,8,2,0.99,0.62222,1
GO:0008667,2,3-dihydro-2,3-dihydroxybenzoate dehydr...,45,10,5.56,0.62413,1
GO:0046914,transition metal ion binding,1138,131,140.63,0.62945,1
GO:0016279,protein-lysine N-methyltransferase activ...,16,2,1.98,0.63158,1
GO:0042054,histone methyltransferase activity,16,2,1.98,0.63158,1
GO:0098772,molecular function regulator activity,137,16,16.93,0.63509,1
GO:0043531,ADP binding,132,19,16.31,0.63753,1
GO:0016833,oxo-acid-lyase activity,8,1,0.99,0.64185,1
GO:0015368,calcium:cation antiporter activity,5,1,0.62,0.64425,1
GO:0016861,intramolecular oxidoreductase activity, ...,17,2,2.1,0.64762,1
GO:0015662,P-type ion transporter activity,11,2,1.36,0.64842,1
GO:0016903,oxidoreductase activity, acting on the a...,43,6,5.31,0.64869,1
GO:0005516,calmodulin binding,19,2,2.35,0.64896,1
GO:0016667,oxidoreductase activity, acting on a sul...,92,13,11.37,0.64952,1
GO:0051766,inositol trisphosphate kinase activity,10,2,1.24,0.65506,1
GO:0008081,phosphoric diester hydrolase activity,29,3,3.58,0.66106,1
GO:0015491,cation:cation antiporter activity,9,1,1.11,0.66234,1
GO:0003933,GTP cyclohydrolase activity,4,1,0.49,0.66667,1
GO:0009041,uridylate kinase activity,4,1,0.49,0.67033,1
GO:0140299,small molecule sensor activity,18,2,2.22,0.67091,1
GO:0019104,DNA N-glycosylase activity,10,1,1.24,0.67165,1
GO:0031420,alkali metal ion binding,9,1,1.11,0.67267,1
GO:0008194,UDP-glycosyltransferase activity,85,16,10.5,0.68763,1
GO:0016818,hydrolase activity, acting on acid anhyd...,250,31,30.89,0.69244,1
GO:0003951,NAD+ kinase activity,5,1,0.62,0.69322,1
GO:0016747,acyltransferase activity, transferring g...,153,17,18.91,0.69438,1
GO:0008408,3'-5' exonuclease activity,16,1,1.98,0.69565,1
GO:0042802,identical protein binding,10,1,1.24,0.69813,1
GO:0051139,metal ion:proton antiporter activity,9,1,1.11,0.70385,1
GO:0035091,phosphatidylinositol binding,13,1,1.61,0.70443,1
GO:0008964,phosphoenolpyruvate carboxylase activity,5,1,0.62,0.71429,1
GO:0140358,P-type transmembrane transporter activit...,11,2,1.36,0.71575,1
GO:0016814,hydrolase activity, acting on carbon-nit...,12,1,1.48,0.71581,1
GO:0046915,transition metal ion transmembrane trans...,12,1,1.48,0.71596,1
GO:0060589,nucleoside-triphosphatase regulator acti...,27,3,3.34,0.72187,1
GO:0005247,voltage-gated chloride channel activity,8,1,0.99,0.72727,1
GO:0016639,oxidoreductase activity, acting on the C...,4,1,0.49,0.72802,1
GO:0044877,protein-containing complex binding,22,2,2.72,0.73022,1
GO:0034212,peptide N-acetyltransferase activity,8,1,0.99,0.73828,1
GO:0004427,inorganic diphosphatase activity,10,1,1.24,0.74886,1
GO:0005385,zinc ion transmembrane transporter activ...,9,1,1.11,0.75000,1
GO:0019888,protein phosphatase regulator activity,3,1,0.37,0.75000,1
GO:0051537,2 iron, 2 sulfur cluster binding,16,1,1.98,0.75068,1
GO:0004519,endonuclease activity,36,2,4.45,0.75154,1
GO:0016762,xyloglucan:xyloglucosyl transferase acti...,26,9,3.21,0.75492,1
GO:0005342,organic acid transmembrane transporter a...,16,2,1.98,0.76685,1
GO:0016776,phosphotransferase activity, phosphate g...,20,3,2.47,0.76913,1
GO:0016817,hydrolase activity, acting on acid anhyd...,259,32,32.01,0.77190,1
GO:0017057,6-phosphogluconolactonase activity,5,1,0.62,0.77453,1
GO:0016161,beta-amylase activity,7,1,0.87,0.77778,1
GO:0005543,phospholipid binding,29,2,3.58,0.78433,1
GO:0016411,acylglycerol O-acyltransferase activity,8,1,0.99,0.78496,1
GO:0042803,protein homodimerization activity,10,1,1.24,0.78694,1
GO:0016616,oxidoreductase activity, acting on the C...,104,11,12.85,0.78798,1
GO:0019205,nucleobase-containing compound kinase ac...,24,4,2.97,0.79097,1
GO:0016765,transferase activity, transferring alkyl...,42,6,5.19,0.79125,1
GO:0061733,peptide-lysine-N-acetyltransferase activ...,8,1,0.99,0.79636,1
GO:0015098,molybdate ion transmembrane transporter ...,4,1,0.49,0.79658,1
GO:0046873,metal ion transmembrane transporter acti...,86,8,10.63,0.79664,1
GO:0003924,GTPase activity,121,14,14.95,0.79864,1
GO:0015932,nucleobase-containing compound transmemb...,9,1,1.11,0.80175,1
GO:1901505,carbohydrate derivative transmembrane tr...,9,1,1.11,0.80175,1
GO:0045300,acyl-[acyl-carrier-protein] desaturase a...,5,1,0.62,0.80631,1
GO:0015035,protein-disulfide reductase activity,74,11,9.14,0.80710,1
GO:0019787,ubiquitin-like protein transferase activ...,93,13,11.49,0.80941,1
GO:0043565,sequence-specific DNA binding,210,18,25.95,0.81593,1
GO:0004527,exonuclease activity,23,1,2.84,0.82583,1
GO:0008170,N-methyltransferase activity,28,3,3.46,0.83227,1
GO:0016843,amine-lyase activity,7,1,0.87,0.83275,1
GO:0043733,DNA-3-methylbase glycosylase activity,5,1,0.62,0.83333,1
GO:0016743,carboxyl- or carbamoyltransferase activi...,11,1,1.36,0.83379,1
GO:0019904,protein domain specific binding,15,1,1.85,0.83445,1
GO:0003690,double-stranded DNA binding,44,3,5.44,0.83479,1
GO:0008289,lipid binding,82,7,10.13,0.83643,1
GO:0015923,mannosidase activity,8,1,0.99,0.84350,1
GO:0015399,primary active transmembrane transporter...,76,12,9.39,0.84355,1
GO:0004017,adenylate kinase activity,6,1,0.74,0.84615,1
GO:0008061,chitin binding,11,1,1.36,0.84642,1
GO:0016615,malate dehydrogenase activity,15,1,1.85,0.85186,1
GO:0016780,phosphotransferase activity, for other s...,9,1,1.11,0.85360,1
GO:0033218,amide binding,16,1,1.98,0.85443,1
GO:0016811,hydrolase activity, acting on carbon-nit...,17,1,2.1,0.85445,1
GO:0016671,oxidoreductase activity, acting on a sul...,12,1,1.48,0.85886,1
GO:0003950,NAD+ ADP-ribosyltransferase activity,12,1,1.48,0.86000,1
GO:0003978,UDP-glucose 4-epimerase activity,6,1,0.74,0.86134,1
GO:0008131,primary amine oxidase activity,6,1,0.74,0.86667,1
GO:0047134,protein-disulfide reductase (NAD(P)) act...,11,1,1.36,0.87016,1
GO:0004144,diacylglycerol O-acyltransferase activit...,7,1,0.87,0.87500,1
GO:0016160,amylase activity,9,1,1.11,0.87656,1
GO:0016641,oxidoreductase activity, acting on the C...,10,2,1.24,0.88187,1
GO:0004620,phospholipase activity,15,1,1.85,0.88235,1
GO:0016682,oxidoreductase activity, acting on diphe...,15,1,1.85,0.88235,1
GO:0003712,transcription coregulator activity,20,1,2.47,0.88274,1
GO:0004743,pyruvate kinase activity,9,1,1.11,0.88373,1
GO:0031072,heat shock protein binding,18,1,2.22,0.88461,1
GO:0016775,phosphotransferase activity, nitrogenous...,18,2,2.22,0.88738,1
GO:0016799,hydrolase activity, hydrolyzing N-glycos...,10,1,1.24,0.88975,1
GO:0016836,hydro-lyase activity,32,5,3.95,0.89048,1
GO:0016859,cis-trans isomerase activity,26,1,3.21,0.89058,1
GO:0004674,protein serine/threonine kinase activity,75,13,9.27,0.89109,1
GO:0016810,hydrolase activity, acting on carbon-nit...,46,4,5.68,0.89248,1
GO:0042132,fructose 1,6-bisphosphate 1-phosphatase ...,6,2,0.74,0.89286,1
GO:0008276,protein methyltransferase activity,20,2,2.47,0.89454,1
GO:0008080,N-acetyltransferase activity,49,7,6.06,0.89674,1
GO:0051540,metal cluster binding,68,5,8.4,0.89778,1
GO:0016831,carboxy-lyase activity,45,4,5.56,0.89916,1
GO:0004373,glycogen (starch) synthase activity,4,1,0.49,0.89979,1
GO:0005509,calcium ion binding,177,16,21.87,0.90035,1
GO:0015298,solute:cation antiporter activity,22,2,2.72,0.90228,1
GO:0016866,intramolecular transferase activity,46,2,5.68,0.90878,1
GO:0003779,actin binding,16,2,1.98,0.91098,1
GO:0031406,carboxylic acid binding,15,1,1.85,0.91608,1
GO:0016741,transferase activity, transferring one-c...,211,31,26.07,0.91971,1
GO:0003682,chromatin binding,21,1,2.6,0.92036,1
GO:0051213,dioxygenase activity,26,2,3.21,0.92165,1
GO:0016830,carbon-carbon lyase activity,70,8,8.65,0.92328,1
GO:0016763,pentosyltransferase activity,26,3,3.21,0.92610,1
GO:0008233,peptidase activity,325,45,40.16,0.92626,1
GO:0016298,lipase activity,17,1,2.1,0.92671,1
GO:0016614,oxidoreductase activity, acting on CH-OH...,141,16,17.42,0.92853,1
GO:0004568,chitinase activity,19,2,2.35,0.93137,1
GO:0030247,polysaccharide binding,31,3,3.83,0.93152,1
GO:0004499,N,N-dimethylaniline monooxygenase activi...,12,3,1.48,0.93407,1
GO:0004673,protein histidine kinase activity,18,2,2.22,0.93580,1
GO:0016679,oxidoreductase activity, acting on diphe...,17,1,2.1,0.93884,1
GO:0140110,transcription regulator activity,354,35,43.75,0.93914,1
GO:0016684,oxidoreductase activity, acting on perox...,48,4,5.93,0.94742,1
GO:0010181,FMN binding,29,2,3.58,0.94839,1
GO:0046961,proton-transporting ATPase activity, rot...,15,1,1.85,0.95224,1
GO:0042578,phosphoric ester hydrolase activity,180,20,22.24,0.95346,1
GO:0022857,transmembrane transporter activity,399,65,49.31,0.95484,1
GO:0008308,voltage-gated anion channel activity,11,1,1.36,0.95489,1
GO:0015078,proton transmembrane transporter activit...,63,4,7.79,0.95719,1
GO:0070279,vitamin B6 binding,76,5,9.39,0.95776,1
GO:0051287,NAD binding,53,4,6.55,0.96351,1
GO:0016701,oxidoreductase activity, acting on singl...,32,2,3.95,0.96569,1
GO:0016209,antioxidant activity,65,4,8.03,0.96750,1
GO:0016157,sucrose synthase activity,9,2,1.11,0.96844,1
GO:0016787,hydrolase activity,1418,193,175.23,0.97239,1
GO:0009881,photoreceptor activity,5,1,0.62,0.97578,1
GO:0047262,polygalacturonate 4-alpha-galacturonosyl...,15,1,1.85,0.97614,1
GO:0008234,cysteine-type peptidase activity,48,3,5.93,0.97855,1
GO:0042625,ATPase-coupled ion transmembrane transpo...,15,1,1.85,0.98116,1
GO:0009678,pyrophosphate hydrolysis-driven proton t...,19,1,2.35,0.98130,1
GO:0005253,anion channel activity,11,1,1.36,0.98192,1
GO:0061134,peptidase regulator activity,38,2,4.7,0.98205,1
GO:0008378,galactosyltransferase activity,17,1,2.1,0.98573,1
GO:0090079,translation regulator activity, nucleic ...,64,1,7.91,0.98659,1
GO:0004721,phosphoprotein phosphatase activity,96,10,11.86,0.98673,1
GO:0003843,1,3-beta-D-glucan synthase activity,7,1,0.87,0.98754,1
GO:0009055,electron transfer activity,98,8,12.11,0.98863,1
GO:0015108,chloride transmembrane transporter activ...,10,1,1.24,0.98998,1
GO:0008757,S-adenosylmethionine-dependent methyltra...,48,3,5.93,0.99058,1
GO:0016769,transferase activity, transferring nitro...,24,1,2.97,0.99152,1
GO:0008375,acetylglucosaminyltransferase activity,36,3,4.45,0.99335,1
GO:0030170,pyridoxal phosphate binding,76,5,9.39,0.99400,1
GO:0003755,peptidyl-prolyl cis-trans isomerase acti...,26,1,3.21,0.99452,1
GO:0004518,nuclease activity,80,5,9.89,0.99542,1
GO:0020037,heme binding,314,50,38.8,0.99580,1
GO:0015297,antiporter activity,74,11,9.14,0.99635,1
GO:0016746,acyltransferase activity,186,21,22.98,0.99648,1
GO:0030414,peptidase inhibitor activity,38,2,4.7,0.99747,1
GO:0046982,protein heterodimerization activity,37,1,4.57,0.99798,1
GO:0009378,four-way junction helicase activity,15,1,1.85,0.99799,1
GO:0019842,vitamin binding,100,6,12.36,0.99805,1
